fold,n_train,n_val,n_test,test_pos,best_threshold,roc_auc,pr_auc,f2,precision,recall,tp,fn,fp,tn
1,52985,12133,16177,63,0.9900000095367432,0.6192465981469333,0.1800642614351297,0.26666666666666666,0.3333333333333333,0.25396825396825395,16,47,32,16082
2,52985,12133,16177,63,0.9900000095367432,0.6214018767078218,0.10221144042363475,0.2229299363057325,0.22580645161290322,0.2222222222222222,14,49,48,16066
3,52983,12133,16177,64,0.9800000190734863,0.6753116660460499,0.0913853445931072,0.1751592356687898,0.1896551724137931,0.171875,11,53,47,16066
4,52986,12133,16176,63,0.9900000095367432,0.7381095221348433,0.1458443491052697,0.2833333333333333,0.3541666666666667,0.2698412698412698,17,46,31,16082
5,52986,12133,16176,63,0.9100000262260437,0.6439442075264082,0.09864693778163137,0.20581113801452786,0.10559006211180125,0.2698412698412698,17,46,144,15969
