,best_threshold,roc_auc,pr_auc,f2,precision,recall
mean,0.9700000166893006,0.6618839042995791,0.06255128936594573,0.14329694002968868,0.09675686696388223,0.17093253968253969
std,0.018708292987277764,0.04469358925494956,0.036989916048885546,0.08210311855890766,0.0633108829601223,0.10258363450941382
median,0.9700000286102295,0.650101121149343,0.0675031236169909,0.16709511568123395,0.0949367088607595,0.20634920634920634
min,0.9399999976158142,0.617891176163486,0.009409409488221374,0.0,0.0,0.0
max,0.9900000095367432,0.7276803568227175,0.09712661091489541,0.20671834625322996,0.17543859649122806,0.25396825396825395
