,best_threshold,roc_auc,pr_auc,f2,precision,recall
mean,0.9720000147819519,0.6596027741124113,0.12363046666775454,0.23078006199781004,0.24171033722769955,0.23754960317460316
std,0.03492849153311253,0.049353821988376075,0.03808191520673861,0.04423924355849484,0.10311716940613941,0.041542621712847755
median,0.9900000095367432,0.6439442075264082,0.10221144042363475,0.2229299363057325,0.22580645161290322,0.25396825396825395
min,0.9100000262260437,0.6192465981469333,0.0913853445931072,0.1751592356687898,0.10559006211180125,0.171875
max,0.9900000095367432,0.7381095221348433,0.1800642614351297,0.2833333333333333,0.3541666666666667,0.2698412698412698
