fold,n_train,n_val,n_test,test_pos,best_threshold,roc_auc,pr_auc,f2,precision,recall,tp,fn,fp,tn
1,52985,12133,16177,63,0.9900000095367432,0.7039200852654992,0.14420739600737095,0.23333333333333334,0.2916666666666667,0.2222222222222222,14,49,34,16080
2,52985,12133,16177,63,0.9800000190734863,0.6017590934433431,0.09856418527705195,0.23323615160349853,0.17582417582417584,0.25396825396825395,16,47,75,16039
3,52983,12133,16177,64,0.9700000286102295,0.6975733879476199,0.11940729305663604,0.23255813953488372,0.18181818181818182,0.25,16,48,72,16041
4,52986,12133,16176,63,0.9900000095367432,0.6954406330686352,0.18287937459196466,0.31353135313531355,0.37254901960784315,0.30158730158730157,19,44,32,16081
5,52986,12133,16176,63,0.9900000095367432,0.6132620904544196,0.10005366811621266,0.2358490566037736,0.22727272727272727,0.23809523809523808,15,48,51,16062
