,best_threshold,roc_auc,pr_auc,f2,precision,recall
mean,0.9840000152587891,0.6623910580359035,0.12902238340984723,0.24970160684216056,0.24982615423791893,0.25317460317460316
std,0.00894426338007676,0.05036025574913593,0.03532172974437377,0.03570385037060828,0.08279728913824835,0.029748674307922714
median,0.9900000095367432,0.6954406330686352,0.11940729305663604,0.23333333333333334,0.22727272727272727,0.25
min,0.9700000286102295,0.6017590934433431,0.09856418527705195,0.23255813953488372,0.17582417582417584,0.2222222222222222
max,0.9900000095367432,0.7039200852654992,0.18287937459196466,0.31353135313531355,0.37254901960784315,0.30158730158730157
